レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品
R0585,北区,女性,20代,月,2024/05/21,19:34,夜,1180,アイス キャンディ 炭酸飲料 ガム
R0586,北区,女性,20代,土,2024/08/09,08:53,朝,1180,弁当 冷凍食品 カップ麺 肉まん
R0587,北区,男性,20代,木,2024/10/11,08:36,朝,890,歯ブラシ トイレットペーパー シャンプー 洗剤
R0588,北区,男性,30代,土,2024/07/11,09:23,朝,1060,ティッシュ 歯ブラシ ガム
R0589,北区,男性,40代,水,2024/07/02,13:53,昼,470,牛乳 おにぎり
R0590,北区,女性,50代,日,2024/07/01,14:14,昼,920,パン 卵 牛乳 おにぎり
R0591,北区,男性,50代,水,2024/03/21,11:23,昼,780,パン 卵 おにぎり 肉まん
R0592,北区,男性,40代,土,2024/03/19,07:10,朝,920,パン 卵 牛乳 おにぎり
R0593,北区,女性,30代,火,2024/07/24,21:21,夜,740,サラダ 野菜ジュース フルーツ
R0594,北区,男性,60代以上,火,2024/07/21,09:42,朝,330,牛乳
R0595,北区,女性,30代,土,2024/11/10,14:50,昼,620,栄養ドリンク フルーツ コーヒー
R0596,北区,女性,30代,木,2024/07/16,22:27,夜,1130,歯ブラシ シャンプー トイレットペーパー ティッシュ
R0597,北区,男性,20代,木,2024/12/21,12:03,昼,960,トイレットペーパー ティッシュ 卵
R0598,北区,男性,60代以上,日,2024/11/30,10:35,朝,350,おにぎり パン
R0599,北区,女性,10代,水,2024/08/07,22:40,夜,1040,トイレットペーパー ティッシュ 洗剤 コーヒー
R0600,北区,女性,60代以上,水,2024/01/24,20:19,夜,1230,洗剤 トイレットペーパー 歯ブラシ サンドイッチ
R0601,東区,女性,30代,日,2024/08/02,11:57,昼,290,サラダ
R0602,東区,女性,50代,水,2024/07/10,07:22,朝,1090,弁当 冷凍食品 カップ麺 缶コーヒー
R0603,東区,男性,10代,日,2024/05/29,13:29,昼,740,サンドイッチ お茶 コーヒー
R0604,東区,女性,60代以上,日,2024/10/25,08:03,朝,680,卵 おにぎり 冷凍食品
R0605,東区,男性,50代,月,2024/03/19,17:44,夜,140,おにぎり
R0606,東区,女性,30代,火,2024/01/20,17:32,夜,670,カップ麺 冷凍食品 肉まん
R0607,東区,男性,30代,土,2024/06/10,16:17,昼,1090,冷凍食品 缶コーヒー カップ麺 弁当
R0608,東区,男性,50代,水,2024/03/09,19:51,夜,800,肉まん 缶コーヒー 弁当
R0609,東区,女性,40代,水,2024/11/27,22:35,夜,980,カップ麺 肉まん 弁当 缶コーヒー
R0610,東区,男性,40代,金,2024/03/10,19:52,夜,1180,肉まん 冷凍食品 弁当 カップ麺
R0611,東区,女性,40代,月,2024/01/19,07:49,朝,1050,弁当 肉まん キャンディ
R0612,東区,女性,50代,金,2024/07/05,21:29,夜,330,牛乳
R0613,東区,女性,60代以上,木,2024/11/27,15:10,昼,450,サンドイッチ
R0614,東区,女性,40代,金,2024/09/03,17:37,夜,1090,弁当 冷凍食品 カップ麺 缶コーヒー
R0615,東区,男性,10代,水,2024/09/25,14:41,昼,190,肉まん
R0616,東区,男性,60代以上,火,2024/10/31,17:25,夜,910,ジュース サンドイッチ お茶 コーヒー
R0617,東区,女性,50代,火,2024/07/26,16:22,昼,330,牛乳
R0618,東区,女性,10代,木,2024/02/07,22:24,夜,330,牛乳
R0619,東区,女性,10代,火,2024/02/01,22:09,夜,350,ジュース 栄養ドリンク
R0620,東区,女性,10代,木,2024/03/29,15:07,昼,700,肉まん 弁当
R0621,東区,女性,50代,火,2024/12/07,21:59,夜,880,肉まん 弁当 カップ麺
R0622,東区,男性,60代以上,木,2024/03/06,08:24,朝,880,弁当 肉まん 野菜ジュース
R0623,東区,女性,20代,木,2024/04/28,14:07,昼,790,弁当 カップ麺 缶コーヒー
R0624,東区,男性,20代,木,2024/10/15,19:55,夜,1020,キャンディ アイス 炭酸飲料 チョコレート
R0625,東区,男性,60代以上,火,2024/12/13,22:32,夜,170,ジュース
R0626,東区,女性,40代,火,2024/02/21,09:39,朝,1170,洗剤 ティッシュ トイレットペーパー 歯ブラシ
R0627,東区,男性,40代,水,2024/10/26,07:17,朝,580,カップ麺 缶コーヒー 冷凍食品
R0628,東区,男性,50代,木,2024/12/12,08:31,朝,1280,弁当 カップ麺 缶コーヒー 冷凍食品 ヨーグルト
R0629,東区,男性,40代,水,2024/08/29,22:51,夜,220,缶コーヒー お茶
R0630,東区,男性,30代,土,2024/05/14,17:35,夜,340,コーヒー ジュース
R0631,東区,女性,30代,木,2024/08/10,19:02,夜,920,おにぎり パン 牛乳 卵
R0632,東区,男性,60代以上,土,2024/09/21,10:38,朝,880,カップ麺 肉まん 弁当
R0633,東区,女性,50代,木,2024/05/26,10:33,朝,1170,弁当 肉まん 冷凍食品 ジュース
R0634,東区,女性,30代,日,2024/03/22,15:44,昼,770,冷凍食品 缶コーヒー 肉まん カップ麺
R0635,東区,男性,20代,日,2024/12/02,14:33,昼,940,缶コーヒー 肉まん 弁当 おにぎり
R0636,東区,男性,40代,日,2024/01/20,16:22,昼,740,お茶 ジュース サンドイッチ
R0637,東区,女性,60代以上,土,2024/12/27,19:10,夜,1070,パン 牛乳 卵 おにぎり 洗剤
R0638,東区,男性,60代以上,土,2024/06/25,13:13,昼,210,缶コーヒー ポテトチップス
R0639,東区,男性,20代,日,2024/08/12,12:52,昼,470,牛乳 おにぎり
R0640,東区,女性,40代,火,2024/06/11,09:40,朝,620,ジュース サンドイッチ
R0641,東区,女性,30代,火,2024/08/06,20:44,夜,520,カップ麺 肉まん アイス
R0642,東区,女性,50代,火,2024/06/25,11:14,昼,920,牛乳 おにぎり 卵 パン
R0643,東区,男性,30代,木,2024/09/15,08:00,朝,770,缶コーヒー 冷凍食品 肉まん カップ麺
R0644,東区,男性,10代,日,2024/10/05,10:19,朝,610,缶コーヒー 弁当
R0645,東区,男性,10代,月,2024/10/12,10:50,朝,470,お茶 キャンディ
R0646,東区,男性,50代,金,2024/07/29,13:26,昼,840,肉まん 冷凍食品 カップ麺 ジュース
R0647,東区,男性,40代,火,2024/07/27,14:12,昼,790,サンドイッチ コーヒー ジュース
R0648,東区,男性,20代,水,2024/12/17,19:26,夜,910,冷凍食品 弁当 缶コーヒー
R0649,東区,男性,10代,土,2024/05/25,12:36,昼,1090,弁当 カップ麺 缶コーヒー 冷凍食品
R0650,東区,男性,10代,金,2024/07/22,16:55,昼,610,缶コーヒー 弁当
R0651,東区,女性,50代,火,2024/06/09,12:00,昼,740,トイレットペーパー 歯ブラシ シャンプー
R0652,東区,女性,20代,月,2024/09/23,11:41,昼,1100,弁当 肉まん 缶コーヒー 冷凍食品
R0653,東区,女性,20代,金,2024/10/17,11:16,昼,360,カップ麺 野菜ジュース
R0654,東区,女性,30代,土,2024/11/03,12:04,昼,510,弁当
R0655,東区,女性,10代,金,2024/03/23,08:24,朝,320,コーヒー 洗剤
R0656,東区,女性,30代,土,2024/12/22,17:48,夜,380,卵 おにぎり
R0657,東区,女性,50代,火,2024/07/19,11:21,昼,1180,カップ麺 冷凍食品 肉まん 弁当
R0658,東区,男性,40代,土,2024/11/16,22:44,夜,1010,サンドイッチ コーヒー お茶 ジュース 缶コーヒー
R0659,東区,男性,10代,日,2024/03/16,08:49,朝,310,缶コーヒー チョコレート
R0660,東区,女性,60代以上,日,2024/05/02,18:52,夜,100,缶コーヒー
R0661,東区,女性,50代,金,2024/04/22,14:57,昼,1180,弁当 冷凍食品 肉まん カップ麺
R0662,東区,男性,30代,土,2024/01/22,20:36,夜,890,洗剤 シャンプー トイレットペーパー 歯ブラシ
R0663,東区,男性,50代,火,2024/11/01,07:11,朝,1090,弁当 冷凍食品 カップ麺 缶コーヒー
R0664,東区,男性,40代,火,2024/04/27,09:30,朝,880,肉まん 弁当 カップ麺
R0665,東区,女性,30代,土,2024/02/17,17:13,夜,1100,冷凍食品 弁当 肉まん 缶コーヒー
R0666,東区,女性,40代,木,2024/05/07,21:35,夜,630,サンドイッチ 栄養ドリンク
R0667,東区,男性,30代,木,2024/12/28,22:04,夜,210,パン
R0668,東区,男性,40代,木,2024/01/10,19:23,夜,1170,歯ブラシ 洗剤 ティッシュ トイレットペーパー
R0669,東区,女性,50代,日,2024/05/17,11:50,昼,670,肉まん カップ麺 冷凍食品
R0670,東区,女性,40代,金,2024/03/01,09:22,朝,650,カップ麺 冷凍食品 コーヒー
R0671,東区,男性,50代,月,2024/03/02,16:02,昼,1450,肉まん 弁当 冷凍食品 缶コーヒー キャンディ
R0672,東区,男性,50代,金,2024/09/07,15:30,昼,510,弁当
R0673,東区,男性,20代,土,2024/01/16,17:02,夜,330,肉まん おにぎり
R0674,東区,女性,20代,金,2024/09/22,17:41,夜,660,トイレットペーパー 牛乳
R0675,東区,男性,40代,火,2024/04/26,19:48,夜,990,フルーツ ヨーグルト 野菜ジュース キャンディ
R0676,東区,女性,30代,金,2024/01/03,15:24,昼,1360,冷凍食品 弁当 カップ麺 ガム
R0677,東区,女性,20代,水,2024/05/18,08:28,朝,340,コーヒー ジュース
R0678,東区,男性,40代,金,2024/05/15,09:15,朝,920,フルーツ 野菜ジュース サラダ 栄養ドリンク
R0679,東区,女性,50代,木,2024/01/13,19:14,夜,100,缶コーヒー
R0680,東区,男性,30代,木,2024/12/12,17:00,夜,780,パン 牛乳 卵
R0681,東区,男性,40代,木,2024/06/12,17:18,夜,380,卵 おにぎり
R0682,東区,女性,60代以上,水,2024/12/03,07:18,朝,680,おにぎり 牛乳 パン
R0683,東区,女性,30代,日,2024/08/14,11:17,昼,1130,肉まん カップ麺 弁当 缶コーヒー 洗剤
R0684,東区,男性,40代,火,2024/02/25,08:20,朝,820,フルーツ 栄養ドリンク 野菜ジュース ヨーグルト
R0685,東区,女性,30代,木,2024/10/04,12:49,昼,1000,冷凍食品 肉まん 弁当
R0686,東区,女性,20代,日,2024/06/07,11:36,昼,110,シャンプー
R0687,東区,男性,10代,月,2024/11/06,18:32,夜,1190,肉まん 冷凍食品 弁当 ヨーグルト
R0688,東区,男性,60代以上,火,2024/05/03,10:38,朝,170,ジュース
R0689,東区,男性,20代,火,2024/05/09,18:18,夜,300,冷凍食品
R0690,東区,男性,30代,月,2024/02/10,15:43,昼,270,ジュース 缶コーヒー
R0691,東区,男性,40代,金,2024/09/27,22:50,夜,1370,冷凍食品 弁当 肉まん カップ麺 ヨーグルト
R0692,東区,男性,60代以上,月,2024/11/24,18:14,夜,650,カップ麺 缶コーヒー 肉まん 栄養ドリンク
R0693,東区,男性,30代,火,2024/11/03,21:45,夜,1210,冷凍食品 弁当 肉まん チョコレート
R0694,東区,男性,60代以上,金,2024/11/04,14:07,昼,1000,弁当 カップ麺 炭酸飲料
R0695,東区,女性,40代,火,2024/03/15,15:35,昼,300,冷凍食品
R0696,東区,男性,60代以上,月,2024/01/11,14:15,昼,930,フルーツ 栄養ドリンク ヨーグルト サラダ
R0697,東区,女性,60代以上,土,2024/03/29,09:51,朝,1100,缶コーヒー 肉まん 弁当 冷凍食品
R0698,東区,女性,20代,月,2024/02/15,21:10,夜,510,冷凍食品 チョコレート
R0699,東区,男性,50代,日,2024/05/07,11:43,昼,590,パン おにぎり 卵
R0700,東区,男性,50代,金,2024/08/23,21:32,夜,700,弁当 肉まん
R0701,東区,女性,20代,木,2024/04/28,22:36,夜,990,カップ麺 弁当 冷凍食品
R0702,東区,男性,60代以上,金,2024/10/20,22:06,夜,700,おにぎり パン キャンディ
R0703,東区,女性,40代,火,2024/04/10,21:33,夜,710,缶コーヒー 冷凍食品 炭酸飲料
R0704,東区,男性,40代,日,2024/06/11,10:33,朝,1390,冷凍食品 カップ麺 缶コーヒー 弁当 歯ブラシ
R0705,東区,男性,10代,金,2024/07/18,12:13,昼,740,ジュース お茶 サンドイッチ
R0706,東区,男性,10代,火,2024/07/29,07:36,朝,440,トイレットペーパー シャンプー
R0707,東区,男性,30代,日,2024/02/03,09:58,朝,910,ジュース お茶 コーヒー サンドイッチ
R0708,東区,女性,60代以上,金,2024/09/30,17:59,夜,880,弁当 肉まん カップ麺
R0709,東区,男性,10代,土,2024/01/22,14:01,昼,150,洗剤
R0710,東区,男性,20代,土,2024/09/04,20:03,夜,1100,冷凍食品 缶コーヒー 肉まん 弁当
R0711,東区,女性,20代,木,2024/05/20,14:27,昼,800,サラダ 栄養ドリンク 牛乳
R0712,東区,男性,30代,木,2024/06/21,16:32,昼,970,アイス ガム チョコレート 卵
R0713,東区,女性,30代,木,2024/04/15,14:38,昼,180,カップ麺
R0714,東区,男性,60代以上,火,2024/06/13,11:50,昼,620,お茶 コーヒー 牛乳
R0715,東区,女性,50代,木,2024/07/17,07:58,朝,920,パン 卵 牛乳 おにぎり
R0716,東区,男性,30代,土,2024/08/24,07:27,朝,1240,冷凍食品 缶コーヒー 弁当 カップ麺 アイス
R0717,東区,男性,50代,金,2024/11/29,10:53,朝,990,歯ブラシ シャンプー 洗剤 トイレットペーパー 缶コーヒー
R0718,東区,女性,40代,日,2024/10/05,10:40,朝,920,卵 パン 牛乳 おにぎり
R0719,東区,女性,60代以上,水,2024/08/22,08:49,朝,780,パン 牛乳 卵
R0720,東区,男性,50代,土,2024/06/05,12:17,昼,170,ジュース
R0721,東区,女性,20代,金,2024/02/16,21:12,夜,790,弁当 缶コーヒー カップ麺
R0722,東区,女性,60代以上,土,2024/10/01,14:04,昼,570,サンドイッチ お茶
R0723,東区,女性,50代,木,2024/03/06,21:58,夜,870,洗剤 トイレットペーパー ティッシュ
R0724,東区,男性,50代,火,2024/06/06,18:41,夜,570,卵 牛乳
R0725,東区,女性,60代以上,水,2024/04/28,11:45,昼,540,洗剤 ティッシュ
R0726,東区,男性,60代以上,木,2024/07/13,07:56,朝,480,ガム シャンプー
R0727,東区,男性,30代,金,2024/06/04,17:29,夜,350,パン おにぎり
R0728,東区,女性,40代,土,2024/08/18,16:26,昼,570,卵 牛乳
R0729,東区,女性,40代,月,2024/09/30,22:55,夜,910,お茶 ジュース サンドイッチ コーヒー
R0730,東区,男性,50代,土,2024/03/03,14:22,昼,920,牛乳 おにぎり パン 卵
R0731,東区,男性,10代,金,2024/03/24,08:26,朝,470,カップ麺 サラダ
R0732,東区,男性,50代,金,2024/09/04,18:38,夜,450,サンドイッチ
R0733,東区,男性,10代,水,2024/12/15,14:40,昼,350,おにぎり パン
R0734,東区,男性,60代以上,月,2024/01/30,14:03,昼,660,栄養ドリンク サラダ ヨーグルト
R0735,東区,男性,20代,日,2024/01/31,12:55,昼,190,肉まん
R0736,東区,女性,50代,土,2024/04/14,14:01,昼,100,缶コーヒー
R0737,東区,男性,30代,木,2024/07/10,13:44,昼,450,サンドイッチ
R0738,東区,男性,10代,水,2024/04/10,10:07,朝,210,パン
R0739,東区,女性,10代,木,2024/05/19,13:37,昼,890,ティッシュ シャンプー 洗剤 卵
R0740,東区,女性,50代,月,2024/01/19,20:15,夜,920,パン おにぎり 牛乳 卵
R0741,東区,男性,50代,月,2024/02/20,15:30,昼,410,缶コーヒー 炭酸飲料
R0742,東区,男性,10代,火,2024/05/05,14:33,昼,920,牛乳 おにぎり パン 卵
R0743,東区,女性,50代,火,2024/05/28,18:49,夜,580,缶コーヒー カップ麺 冷凍食品
R0744,東区,男性,60代以上,土,2024/08/15,13:40,昼,470,缶コーヒー 肉まん カップ麺
R0745,東区,男性,50代,土,2024/12/08,22:28,夜,1090,ジュース お茶 サンドイッチ コーヒー 栄養ドリンク
R0746,東区,男性,30代,木,2024/06/07,15:24,昼,690,弁当 カップ麺
R0747,東区,男性,10代,火,2024/08/28,08:17,朝,500,ティッシュ シャンプー
R0748,東区,男性,10代,火,2024/03/07,20:19,夜,470,サラダ 栄養ドリンク
R0749,東区,女性,50代,火,2024/08/06,22:20,夜,1300,肉まん 冷凍食品 弁当 歯ブラシ
R0750,東区,男性,30代,木,2024/12/09,16:07,昼,250,おにぎり ポテトチップス
R0751,東区,女性,10代,金,2024/11/17,15:18,昼,1110,弁当 カップ麺 冷凍食品 お茶
R0752,東区,男性,20代,金,2024/11/21,13:36,昼,760,フルーツ 栄養ドリンク 炭酸飲料
R0753,東区,女性,10代,日,2024/01/20,18:29,夜,290,ジュース お茶
R0754,東区,女性,60代以上,日,2024/09/07,19:59,夜,380,卵 おにぎり
R0755,東区,女性,40代,土,2024/08/28,13:05,昼,790,ジュース サンドイッチ コーヒー
R0756,東区,女性,30代,土,2024/02/25,18:57,夜,1130,弁当 肉まん 缶コーヒー 牛乳
R0757,東区,男性,50代,金,2024/04/30,22:09,夜,580,カップ麺 缶コーヒー 冷凍食品
R0758,東区,女性,10代,火,2024/07/07,07:33,朝,370,ヨーグルト 栄養ドリンク
R0759,東区,女性,40代,土,2024/05/12,22:30,夜,860,弁当 キャンディ
R0760,東区,男性,50代,金,2024/04/14,11:31,昼,180,カップ麺
R0761,東区,男性,10代,金,2024/12/22,18:46,夜,240,卵
R0762,東区,女性,20代,金,2024/10/21,12:05,昼,920,卵 牛乳 おにぎり パン
R0763,東区,男性,50代,火,2024/10/13,17:43,夜,610,卵 ガム
R0764,東区,男性,40代,月,2024/03/25,21:56,夜,1020,歯ブラシ ティッシュ トイレットペーパー
R0765,東区,男性,30代,土,2024/10/28,21:40,夜,470,コーヒー お茶 栄養ドリンク
R0766,東区,男性,20代,土,2024/05/26,17:32,夜,680,おにぎり パン 牛乳
R0767,東区,男性,60代以上,土,2024/04/10,18:31,夜,850,カップ麺 冷凍食品 肉まん 栄養ドリンク
R0768,東区,男性,40代,日,2024/06/23,18:52,夜,920,パン 牛乳 卵 おにぎり
R0769,東区,男性,30代,金,2024/08/10,08:16,朝,780,フルーツ ヨーグルト 栄養ドリンク おにぎり
R0770,東区,女性,20代,金,2024/08/24,13:30,昼,770,缶コーヒー 冷凍食品 カップ麺 肉まん
R0771,東区,女性,10代,日,2024/10/08,17:19,夜,790,コーヒー サンドイッチ ジュース
R0772,東区,女性,30代,火,2024/10/18,18:44,夜,380,卵 おにぎり
R0773,東区,女性,40代,水,2024/01/01,11:48,昼,290,コーヒー お茶
R0774,東区,女性,60代以上,日,2024/02/04,19:34,夜,480,カップ麺 冷凍食品
R0775,東区,男性,20代,木,2024/01/02,20:42,夜,550,カップ麺 ガム
R0776,東区,女性,60代以上,水,2024/06/16,18:41,夜,1090,冷凍食品 缶コーヒー カップ麺 弁当
R0777,東区,女性,10代,木,2024/08/12,20:27,夜,180,カップ麺
R0778,東区,女性,10代,月,2024/10/21,20:44,夜,1180,肉まん 弁当 カップ麺 冷凍食品
R0779,東区,男性,10代,土,2024/03/19,18:47,夜,650,弁当 おにぎり
R0780,東区,女性,30代,土,2024/12/11,09:46,朝,450,サンドイッチ
R0781,東区,女性,40代,木,2024/07/19,10:11,朝,460,ポテトチップス キャンディ
R0782,東区,男性,30代,土,2024/08/04,15:29,昼,480,洗剤 トイレットペーパー
R0783,東区,男性,10代,金,2024/01/20,15:43,昼,1090,ジュース コーヒー お茶 サンドイッチ 栄養ドリンク
R0784,東区,女性,20代,火,2024/03/18,16:30,昼,1090,缶コーヒー カップ麺 弁当 冷凍食品
R0785,東区,男性,30代,土,2024/07/25,19:36,夜,980,弁当 缶コーヒー 肉まん カップ麺
R0786,東区,男性,40代,木,2024/04/28,09:34,朝,920,牛乳 卵 キャンディ
R0787,東区,女性,40代,木,2024/03/03,13:56,昼,940,カップ麺 冷凍食品 缶コーヒー 肉まん ジュース
R0788,東区,男性,60代以上,日,2024/03/07,12:19,昼,920,おにぎり 卵 パン 牛乳
R0789,東区,男性,40代,火,2024/05/14,09:01,朝,630,お茶 弁当
R0790,東区,女性,50代,金,2024/09/13,18:33,夜,710,卵 牛乳 おにぎり
R0791,東区,女性,10代,火,2024/03/11,17:46,夜,660,サラダ 栄養ドリンク ヨーグルト
R0792,東区,男性,10代,土,2024/05/29,20:24,夜,770,卵 パン おにぎり 栄養ドリンク
R0793,東区,男性,50代,木,2024/02/20,10:36,朝,780,牛乳 卵 パン
R0794,東区,女性,20代,火,2024/10/11,18:31,夜,630,炭酸飲料 チョコレート ポテトチップス
R0795,東区,男性,10代,火,2024/08/06,08:52,朝,600,サンドイッチ 洗剤
R0796,東区,女性,60代以上,日,2024/09/06,18:21,夜,190,肉まん
R0797,東区,女性,20代,火,2024/09/30,13:26,昼,690,カップ麺 弁当
R0798,東区,男性,10代,金,2024/11/03,12:46,昼,1510,冷凍食品 弁当 肉まん カップ麺 牛乳
R0799,東区,男性,30代,火,2024/05/09,09:31,朝,810,弁当 冷凍食品
R0800,東区,男性,40代,木,2024/09/15,09:35,朝,480,冷凍食品 カップ麺
R0801,東区,女性,10代,木,2024/08/07,11:27,昼,900,コーヒー サンドイッチ ジュース ポテトチップス
R0802,東区,男性,20代,土,2024/05/23,19:09,夜,540,パン 牛乳
R0803,東区,女性,50代,土,2024/03/18,16:11,昼,570,卵 牛乳
R0804,東区,女性,10代,木,2024/12/05,16:16,昼,170,コーヒー
R0805,東区,女性,20代,土,2024/01/14,20:00,夜,400,冷凍食品 缶コーヒー
R0806,東区,男性,50代,火,2024/12/27,15:43,昼,1070,パン おにぎり 牛乳 卵 洗剤
R0807,東区,男性,30代,土,2024/08/12,09:48,朝,540,歯ブラシ 卵
R0808,東区,女性,50代,木,2024/06/25,19:48,夜,510,弁当
R0809,東区,男性,30代,日,2024/05/03,08:39,朝,610,弁当 缶コーヒー
R0810,東区,女性,60代以上,日,2024/04/11,17:02,夜,450,歯ブラシ アイス
R0811,東区,女性,30代,日,2024/11/06,10:21,朝,590,卵 パン おにぎり
R0812,東区,女性,20代,火,2024/10/03,17:49,夜,510,弁当
R0813,東区,男性,30代,月,2024/03/15,09:12,朝,480,カップ麺 冷凍食品
R0814,東区,男性,50代,土,2024/05/23,07:10,朝,1180,冷凍食品 カップ麺 弁当 肉まん
R0815,東区,女性,60代以上,火,2024/06/28,19:23,夜,700,肉まん 弁当
R0816,東区,男性,50代,月,2024/12/04,15:07,昼,170,ジュース
R0817,東区,男性,50代,月,2024/08/23,08:33,朝,1240,肉まん 缶コーヒー 弁当 冷凍食品 おにぎり
R0818,東区,女性,20代,火,2024/04/30,22:08,夜,170,ジュース
R0819,東区,女性,50代,火,2024/03/27,18:40,夜,460,炭酸飲料 アイス
R0820,東区,男性,10代,金,2024/03/28,14:21,昼,690,ティッシュ 歯ブラシ
R0821,東区,女性,50代,日,2024/05/17,16:54,昼,920,おにぎり パン 牛乳 卵
R0822,東区,男性,60代以上,火,2024/07/30,19:02,夜,1100,肉まん 冷凍食品 缶コーヒー 弁当
R0823,東区,女性,20代,木,2024/06/27,11:06,昼,680,おにぎり 牛乳 パン
R0824,東区,男性,60代以上,日,2024/04/23,15:04,昼,180,野菜ジュース
R0825,東区,女性,40代,木,2024/11/18,19:37,夜,1040,野菜ジュース ヨーグルト フルーツ サラダ ポテトチップス
R0826,東区,男性,60代以上,水,2024/04/24,08:43,朝,1120,コーヒー サンドイッチ ジュース 牛乳
R0827,東区,男性,10代,日,2024/07/25,13:00,昼,770,肉まん 冷凍食品 カップ麺 缶コーヒー
R0828,東区,女性,30代,金,2024/10/01,18:02,夜,1280,弁当 冷凍食品 缶コーヒー 肉まん 野菜ジュース
R0829,東区,男性,10代,日,2024/09/05,18:43,夜,1090,カップ麺 冷凍食品 缶コーヒー 弁当
R0830,東区,男性,60代以上,月,2024/11/30,11:41,昼,780,卵 パン 牛乳
R0831,東区,男性,20代,金,2024/07/18,13:59,昼,920,肉まん カップ麺 缶コーヒー 冷凍食品 洗剤
R0832,東区,男性,50代,月,2024/03/14,14:18,昼,590,缶コーヒー 冷凍食品 肉まん
R0833,東区,男性,20代,木,2024/05/01,08:16,朝,820,おにぎり 牛乳 卵 シャンプー
R0834,東区,男性,60代以上,金,2024/12/10,21:08,夜,910,ジュース お茶 コーヒー サンドイッチ
R0835,東区,男性,60代以上,木,2024/03/12,22:39,夜,140,おにぎり
R0836,東区,女性,20代,月,2024/02/20,09:50,朝,180,カップ麺
R0837,東区,女性,10代,水,2024/07/02,07:47,朝,110,シャンプー
R0838,東区,女性,20代,日,2024/06/07,22:59,夜,1440,カップ麺 缶コーヒー 冷凍食品 弁当 キャンディ
R0839,東区,男性,40代,土,2024/01/08,13:35,昼,350,パン おにぎり
R0840,東区,女性,20代,土,2024/12/10,13:07,昼,210,チョコレート
R0841,東区,男性,20代,木,2024/12/12,07:52,朝,1220,肉まん 缶コーヒー 弁当 冷凍食品 お茶
R0842,東区,女性,60代以上,火,2024/02/08,21:13,夜,470,缶コーヒー カップ麺 肉まん
R0843,東区,女性,10代,土,2024/05/10,18:30,夜,710,牛乳 卵 おにぎり
R0844,東区,男性,30代,日,2024/11/09,22:48,夜,590,肉まん 缶コーヒー 冷凍食品
R0845,東区,女性,60代以上,金,2024/12/27,17:15,夜,330,牛乳
R0846,東区,男性,50代,日,2024/10/12,11:02,昼,270,フルーツ
R0847,東区,女性,50代,火,2024/08/27,16:34,昼,750,冷凍食品 缶コーヒー キャンディ
R0848,東区,女性,10代,金,2024/07/24,19:25,夜,810,弁当 冷凍食品
R0849,東区,男性,40代,月,2024/06/12,22:08,夜,570,サンドイッチ お茶
R0850,東区,女性,40代,火,2024/07/06,12:33,昼,630,弁当 お茶
R0851,東区,女性,40代,金,2024/11/23,20:57,夜,170,コーヒー
R0852,東区,女性,20代,金,2024/12/08,17:49,夜,910,カップ麺 缶コーヒー 冷凍食品 肉まん おにぎり
R0853,東区,男性,10代,水,2024/09/27,19:29,夜,470,冷凍食品 ジュース
R0854,東区,女性,60代以上,火,2024/08/12,15:56,昼,400,缶コーヒー 冷凍食品
R0855,東区,男性,40代,木,2024/09/21,14:23,昼,1430,缶コーヒー 肉まん カップ麺 弁当 サンドイッチ
R0856,東区,男性,10代,水,2024/02/14,16:12,昼,580,缶コーヒー 冷凍食品 カップ麺
R0857,東区,男性,20代,水,2024/06/23,17:05,夜,1180,冷凍食品 肉まん 弁当 カップ麺
R0858,東区,女性,20代,土,2024/01/26,08:10,朝,1100,冷凍食品 弁当 肉まん 缶コーヒー
R0859,東区,女性,50代,木,2024/04/19,11:38,昼,960,パン 牛乳 卵 野菜ジュース
R0860,東区,男性,40代,水,2024/12/20,22:14,夜,210,パン
R0861,東区,男性,30代,木,2024/10/28,10:55,朝,340,コーヒー ジュース
R0862,東区,男性,60代以上,火,2024/08/14,12:42,昼,740,フルーツ 栄養ドリンク サラダ
R0863,東区,女性,30代,木,2024/01/25,15:22,昼,920,卵 おにぎり パン 牛乳
R0864,東区,女性,40代,土,2024/10/21,16:53,昼,330,牛乳
R0865,東区,男性,50代,金,2024/09/12,11:27,昼,980,弁当 缶コーヒー 肉まん カップ麺
R0866,東区,男性,10代,日,2024/09/03,22:59,夜,100,缶コーヒー
R0867,東区,男性,40代,水,2024/10/30,15:13,昼,280,缶コーヒー 野菜ジュース
R0868,東区,女性,40代,木,2024/01/01,11:33,昼,700,肉まん 缶コーヒー 冷凍食品 ポテトチップス
R0869,東区,女性,20代,木,2024/03/20,21:48,夜,540,牛乳 パン
R0870,東区,女性,10代,日,2024/01/21,21:06,夜,920,卵 牛乳 おにぎり パン
R0871,東区,男性,60代以上,土,2024/10/26,12:13,昼,120,お茶
R0872,東区,女性,20代,日,2024/09/25,13:14,昼,1130,シャンプー 歯ブラシ トイレットペーパー ティッシュ
R0873,東区,女性,20代,土,2024/08/20,18:08,夜,180,カップ麺
R0874,東区,男性,20代,金,2024/05/06,08:17,朝,1170,歯ブラシ トイレットペーパー ティッシュ 洗剤
R0875,東区,女性,10代,月,2024/03/17,15:01,昼,1180,弁当 肉まん 冷凍食品 カップ麺
R0876,東区,男性,30代,月,2024/10/20,21:25,夜,580,缶コーヒー 冷凍食品 カップ麺
